ds,yhat,yhat_hybrid
2025-10-15,231.91748857755283,218.75494528073887
2025-10-16,232.21268857030913,218.3343325903897
2025-10-17,232.3871940059373,218.19378599354715
2025-10-18,232.49894340740235,218.18100174175294
2025-10-19,232.69106656827208,218.37412244595762
2025-10-20,232.75394369241567,218.5186512577233
2025-10-21,233.01185366606006,218.9086250970293
2025-10-22,233.2373835279267,219.29357306497505
2025-10-23,233.50875427703062,219.73862411955992
2025-10-24,233.64903850820178,220.05764694478626
2025-10-25,233.7180867049398,220.304669842452
2025-10-26,233.86108869985253,220.62146467641503
2025-10-27,233.8705788579499,220.79709539084786
2025-10-28,234.07302829123176,221.1557356963221
2025-10-29,234.24319761745633,221.47354143612088
2025-10-30,234.46140687637308,221.82891194992044
2025-10-31,234.55269955383588,222.04668568359662
2025-11-01,234.57871895017334,222.18990211667725
2025-11-02,234.68622471737044,222.40624691890852
2025-11-03,234.66905930521932,222.4889340687081
2025-11-04,234.85470864686368,222.767231916517
2025-11-05,235.01863142636503,223.01734205868925
2025-11-06,235.2415141549722,223.32273287445463
2025-11-07,235.34842938524582,223.5087582502971
2025-11-08,235.40071543175728,223.63582189995796
2025-11-09,235.54450530390537,223.8509914336661
2025-11-10,235.57271422280292,223.94793166054706
2025-11-11,235.81162944450458,224.25312057151874
2025-11-12,236.03527590014465,224.54022642352112
2025-11-13,236.32271384632816,224.88623141682376
