ds,yhat,yhat_hybrid
2025-10-15,231.83469642116097,218.81396258784798
2025-10-16,232.05411909087928,219.11731908782752
2025-10-17,232.1129232674354,219.63787615592418
2025-10-18,232.4273377329271,220.50311097206284
2025-10-19,232.62052991391363,221.30405595303716
2025-10-20,232.81148117634737,222.13963955494845
2025-10-21,233.00623632059097,222.96431184396744
2025-10-22,233.16409349037386,223.74518632484651
2025-10-23,233.35414786055702,224.537949511558
2025-10-24,233.37424226949307,225.1467051143417
2025-10-25,233.64257266227202,225.98919369880156
2025-10-26,233.78439032488504,226.68836724215188
2025-10-27,233.9208230396806,227.36328309980024
2025-10-28,234.06006913983302,228.03208642804103
2025-10-29,234.16353211146475,228.64207062464834
2025-10-30,234.30231054906915,229.25871523504327
2025-10-31,234.27609803746165,229.69106080601634
2025-11-01,234.5047421617031,230.3536200685024
2025-11-02,234.6149058505663,230.8774688407549
2025-11-03,234.72885426521978,231.3902903461524
2025-11-04,234.85562211693426,231.89706355751653
2025-11-05,234.9571297670329,232.36607961902266
2025-11-06,235.10466339690245,232.86896302802123
2025-11-07,235.09777406628453,233.20055583889805
2025-11-08,235.35584486084952,233.78235781746878
2025-11-09,235.5047690874725,234.2412364489227
2025-11-10,235.66576224056243,234.70010584083556
2025-11-11,235.8465619064255,235.1636545039101
2025-11-12,236.00758303250302,235.59381259526242
2025-11-13,236.21844273875803,236.06067229877561
