ds,yhat,yhat_hybrid
2025-10-15,234.4817741449229,220.70061188296
2025-10-16,234.7681441822062,220.75838523292643
2025-10-17,234.8246588285784,220.83604188521903
2025-10-18,235.10634197264716,221.30430568724677
2025-10-19,235.31182627176148,221.80778364633423
2025-10-20,235.45546724019647,222.32155324636102
2025-10-21,235.64744703627494,222.91486875868705
2025-10-22,235.89636438780136,223.55238932066268
2025-10-23,236.14354199543672,224.1648861803122
2025-10-24,236.15132444684866,224.51962297742728
2025-10-25,236.37693112947835,225.07445043184651
2025-10-26,236.52128304943267,225.5236624668521
2025-10-27,236.60105811402215,225.88925467774285
2025-10-28,236.7287360478098,226.29234231001683
2025-10-29,236.91513087970023,226.73781612139945
2025-10-30,237.10364379991077,227.1643032084801
2025-10-31,237.0585108010263,227.33384992761322
2025-11-01,237.23861085731332,227.7020288642103
2025-11-02,237.34625466698196,227.9806788765767
2025-11-03,237.39920945265663,228.1968960294999
2025-11-04,237.5107217227298,228.4658694659549
2025-11-05,237.69203643903964,228.7977121363663
2025-11-06,237.88664565887217,229.135960920713
2025-11-07,237.85854108855605,229.25237043425918
2025-11-08,238.06603607925615,229.60113415512285
2025-11-09,238.2105766257602,229.89505443185152
2025-11-10,238.30879617219864,230.1566994238466
2025-11-11,238.47257522807215,230.49697880015466
2025-11-12,238.71160315778536,230.91961192395968
2025-11-13,238.96767397700103,231.34729405222686
