ds,yhat,yhat_hybrid
2025-10-15,229.07662484023913,213.60506817672595
2025-10-16,229.26436672792877,213.2897239743277
2025-10-17,229.32835787731278,213.175119580804
2025-10-18,229.6064287537139,213.40397895512993
2025-10-19,229.78242950625443,213.59207802004838
2025-10-20,229.8133257856886,213.66116514115734
2025-10-21,230.08254089667832,213.96778335883653
2025-10-22,230.28684325828073,214.20180411948678
2025-10-23,230.4525738828361,214.3871213071525
2025-10-24,230.4856883156957,214.43503676540274
2025-10-25,230.72587650373094,214.6854979331743
2025-10-26,230.8589769660215,214.82820761787696
2025-10-27,230.8440195650292,214.81724039022453
2025-10-28,231.06651260361534,215.04437400803428
2025-10-29,231.22527467578524,215.20915757983798
2025-10-30,231.34860746674303,215.33319990448717
2025-10-31,231.34428542021487,215.32941382292483
2025-11-01,231.5536271649147,215.5382005291725
2025-11-02,231.66386640533108,215.64486158355373
2025-11-03,231.63515777610314,215.61167449973595
2025-11-04,231.85383442021597,215.8275149164318
2025-11-05,232.01921855664287,215.9947949573997
2025-11-06,232.1597818479568,216.14430371380152
2025-11-07,232.18313185835177,216.181146308425
2025-11-08,232.430089611123,216.4473234596948
2025-11-09,232.58707580699758,216.6338363660796
2025-11-10,232.61314079954903,216.6956822653083
2025-11-11,232.89325443502167,217.01723972554902
2025-11-12,233.12515613582522,217.2915475085059
2025-11-13,233.3355609420175,217.54558196099944
